Unknown1,Sex,Date,Subject,Grade,Unknown2
467,M,2016-02,ggi017,0,38
348,M,2011-02,gsi014,42,10
348,M,2015-02,gsi037,81,12
382,M,2012-02,gsi015,46,0
382,M,2011-02,gsi005,64,0
382,M,2014-01,gsi015,0,56
40,M,2011-01,gsi014,30,0
40,M,2011-02,gsi014,60,4
377,M,2012-02,gsi015,100,4
377,M,2011-02,gsi005,64,6
457,M,2016-02,ggi017,60,8
376,M,2012-02,gsi015,35,6
376,M,2011-02,gsi005,60,0
376,M,2013-01,gsi015,60,12
349,M,2011-02,gsi014,46,8
349,M,2012-02,gsi015,28,16
188,M,2009-01,inf63,66,4
378,M,2012-02,gsi015,24,14
378,M,2015-02,gsi015,72,4
378,M,2011-02,gsi005,49,4
378,M,2013-02,gsi015,16,4
375,M,2012-02,gsi015,60,2
375,M,2015-02,gsi037,81,2
375,M,2011-02,gsi005,60,0
77,M,2011-01,gsi014,60,10
109,M,2016-02,gsi015,11,6
548,F,2015-01,gfm015,21,16
383,M,2012-02,gsi015,76,2
383,M,2011-02,gsi005,73,10
342,M,2011-02,gsi014,74,4
70,M,2011-01,gsi014,62,4
390,M,2012-02,gsi015,35,4
390,M,2011-02,gsi005,51,4
72,M,2011-01,gsi014,63,3
391,M,2012-02,gsi015,19,6
391,M,2011-02,gsi005,60,4
73,M,2011-01,gsi014,34,8
451,M,2016-02,ggi017,3,22
643,M,2011-02,gsi005,60,0
74,M,2011-01,gsi014,52,0
385,M,2012-02,gsi015,88,4
385,M,2015-02,gsi037,77,14
385,M,2011-02,gsi005,60,8
642,F,2011-02,gsi005,49,4
642,F,2013-01,gsi015,67,8
76,M,2011-01,gsi014,36,26
388,M,2012-02,gsi015,31,4
388,M,2011-02,gsi005,60,2
386,M,2012-02,gsi015,16,12
386,M,2015-02,gsi015,66,6
386,M,2011-02,gsi005,60,6
386,M,2013-02,gsi015,8,12
122,M,2016-02,gsi015,60,2
384,M,2012-02,gsi015,60,10
384,M,2011-02,gsi005,34,18
525,M,2015-02,gsi037,86,10
341,M,2011-02,gsi014,38,16
69,M,2011-01,gsi014,34,12
88,M,2016-02,gsi015,39,0
190,F,2009-01,inf63,63,12
19,M,2009-01,gem03,61,6
10,M,2009-01,gem03,40,18
10,M,2009-02,gem03,77,9
13,M,2009-01,gem03,35,21
13,M,2009-02,gem03,64,17
883,F,2009-01,gem03,3,6
879,M,2009-01,gem03,61,5
521,M,2015-02,gsi037,0,60
1013,M,2013-02,gsi015,0,32
887,M,2009-01,gem03,60,3
727,M,2014-02,facom49010,70,18
873,M,2009-01,gem03,9,35
873,M,2009-02,gem03,8,39
2,M,2009-01,gem03,45,15
2,M,2009-02,gem03,71,16
97,M,2016-02,gsi015,40,12
97,M,2013-01,gsi015,0,34
78,M,2011-01,gsi014,12,4
125,M,2016-02,gsi015,16,24
911,M,2009-02,gem03,66,14
192,M,2009-01,inf63,0,62
1017,M,2013-02,gsi015,42,4
512,M,2015-02,gsi037,0,56
163,M,2009-01,inf63,4,2
163,M,2009-02,inf63,79,0
169,M,2009-01,inf63,40,2
169,M,2009-02,inf63,88,6
142,M,2009-01,inf63,60,0
